Tester Name$System Name$JVM Name$JVM Version$max-jOPS$critical-jOPS$Test_Location$Publish_Date$CPU_Name$Nodes$Processor_Chips$Processor_Cores$Processor_Threads$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Disk$Memory
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$331023$282400$Round Rock, TX$Thu Jan 12 11:42:47 EST 2023$Intel Xeon Platinum 8470Q$1$2$104$208$2100$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$343283$292157$Round Rock, TX$Thu Jan 12 11:42:47 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$382681$189251$Round Rock, TX$Thu Jan 12 11:42:47 EST 2023$Intel Xeon Platinum 8470Q$1$2$104$208$2100$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$397634$205280$Round Rock, TX$Thu Jan 12 11:42:47 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$416535$212087$Round Rock, TX$Thu Jan 26 16:09:08 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$373578$309482$Round Rock, TX$Thu Jan 26 16:09:08 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$402335$207396$Round Rock, TX$Thu Jan 26 16:09:08 EST 2023$Intel Xeon Platinum 8470Q$1$2$104$208$2100$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge MX760c  HTML$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$359630$298159$Round Rock, TX$Thu Jan 26 16:09:08 EST 2023$Intel Xeon Platinum 8470Q$1$2$104$208$2100$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x SATA SSD 480 GB$64 GB RDIMM 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
Dell Inc.$Dell Inc. PowerEdge R760  HTML$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$421268$213428$Round Rock, TX$Tue Jan 31 23:29:06 EST 2023$Intel Xeon Platinum 8480+$1$2$112$224$2000$32 KB(I) + 48 KB(D) per core$2048 KB (I+D) per core$105 MB (I+D) on chip per chip$1 x 2.5 NVM Express 960GB$16 x 32 GB 2Rx8 PC5-4800B-R (slots A1-8, B1-8 populated)(GB)
H3C$H3C UniServer R4900 G3  HTML$Oracle Java SE 9.0.1$Java HotSpot 64-Bit Server VM, version 9.0.1$141360$121827$Hangzhou, ZheJiang, China$Thu Nov  9 17:15:36 EST 2017$Intel(R) Xeon(R) Platinum 8180 CPU$1$2$56$112$2500$32 KB(I)+32 KB(D) per core$1024 KB (I+D) per core$39424 KB (I+D) on chip per chip$1 x 480 GB SSD SATA$384 GB (24 x 16 GB 2Rx8 PC4-2666V)(GB)
H3C$H3C UniServer R6900 G3  HTML$Oracle Java SE 9.0.4$Java HotSpot 64-Bit Server VM, version 9.0.4$339338$120540$Hangzhou, ZheJiang, China$Fri Apr 13 11:24:41 EDT 2018$Intel(R) Xeon(R) Platinum 8180 CPU$1$4$112$224$2500$32 KB(I)+32 KB(D) per core$1024 KB (I+D) per core$39424 KB (I+D) on chip per chip$1 x 480 GB SSD SATA$384 GB (24 x 16 GB 2Rx8 PC4-2666V)(GB)
Hewlett Packard Enterprise$ProLiant DL360 Gen9  HTML$Oracle Java SE 8u72$Java HotSpot 64-bit Server VM, version 1.8.0_72$106337$55858$Houston, TX$Mar 30, 2016$Intel Xeon CPU E5-2660 v4$1$2$28$56$2000$32 KB I +32 KB D on chip per core$256 KB I+D on chip per core$35 MB I+D on chip per chip$1 x 750 GB$32 GB 2Rx4 PC4-2400T-R(GB)
Hewlett Packard Enterprise$ProLiant DL360 Gen9  HTML$Oracle Java SE 8u72$Java HotSpot 64-bit Server VM, version 1.8.0_72$120674$39513$Houston, TX$Mar 30, 2016$Intel Xeon CPU E5-2660 v4$1$2$28$56$2000$32 KB I +32 KB D on chip per core$256 KB I+D on chip per core$35 MB I+D on chip per chip$1 x 750 GB$32 GB 2Rx4 PC4-2400T-R(GB)
