Table_Type$Company$System_Name$Nodes$Jvm_Company$Cpu_Name$Cpu_Frequency$Chips$Cores$Threads$Memory$Test_Location$Publish_Date$Primary_Instruction_Cache$Primary_Data_Cache$Secondary_Cache$Tertiary_Cache$Total_Result
Power$Acer Incorporated$Gateway GR380 F1$1$Oracle Corporation$Intel Xeon L5530$2400.0$2.0$8.0$16.0$8.0$San Jose$Apr 7, 2010$32.0$32.0$256.0$8192.0$1592.0
Power$Acer Incorporated$Acer AT350 F1$1$Oracle Corporation$Intel Xeon L5530$2400.0$2.0$8.0$16.0$8.0$San Jose$Apr 21, 2010$32.0$32.0$256.0$8192.0$1618.0
Power$Acer Incorporated$Gateway GT350 F1$1$Oracle Corporation$Intel Xeon L5530$2400.0$2.0$8.0$16.0$8.0$San Jose$Apr 21, 2010$32.0$32.0$256.0$8192.0$1630.0
Power$Acer Incorporated$Acer AT110 F1$1$Oracle Corporation$Intel Xeon Processor L3360$2833.0$1.0$4.0$4.0$4.0$Taipei$May 19, 2010$32.0$32.0$12288.0$0.0$1243.0
Power$Acer Incorporated$Gateway GT110 F1$1$Oracle Corporation$Intel Xeon Processor L3360$2833.0$1.0$4.0$4.0$4.0$Taipei$May 19, 2010$32.0$32.0$12288.0$0.0$1263.0
Power$Acer Incorporated$Gateway GR380 F1 (Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Jul 14, 2010$32.0$32.0$256.0$12288.0$2519.0
Power$Acer Incorporated$Acer AR380 F1 (Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Jul 14, 2010$32.0$32.0$256.0$12288.0$2502.0
Power$Acer Incorporated$Gateway GW2000ht-GW170ht F1  Gateway GW2000ht$2$IBM Corporation$Intel Xeon X5670$2933.0$4.0$24.0$48.0$24.0$San Jose$Aug 25, 2010$32.0$32.0$256.0$12288.0$2098.0
Power$Acer Incorporated$Acer AW2000ht-AW170ht F1  Acer AW2000ht$2$IBM Corporation$Intel Xeon X5670$2933.0$4.0$24.0$48.0$24.0$San Jose$Aug 25, 2010$32.0$32.0$256.0$12288.0$2099.0
Power$Acer Incorporated$Gateway GR360 F1 (Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Sep 22, 2010$32.0$32.0$256.0$12288.0$2426.0
Power$Acer Incorporated$Acer AR360 F1 (Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Sep 22, 2010$32.0$32.0$256.0$12288.0$2414.0
Power$Acer Incorporated$Acer AT350 F1 (Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Oct 6, 2010$32.0$32.0$256.0$12288.0$2518.0
Power$Acer Incorporated$Gateway GT350 F1(Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Oct 6, 2010$32.0$32.0$256.0$12288.0$2531.0
Power$Acer Incorporated$Gateway GT150 F1(Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Oct 6, 2010$32.0$32.0$256.0$12288.0$2716.0
Power$Acer Incorporated$Acer AT150 F1(Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Oct 6, 2010$32.0$32.0$256.0$12288.0$2724.0
Power$Acer Incorporated$Acer AR160 F1(Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Nov 3, 2010$32.0$32.0$512.0$12288.0$2471.0
Power$Acer Incorporated$Gateway GR160 F1(Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Taipei$Nov 3, 2010$32.0$32.0$512.0$12288.0$2477.0
Power$Acer Incorporated$Gateway GT115 F1 (AMD Opteron 4164EE, 1.80 GHz)$1$IBM Corporation$AMD Opteron 4164EE$1800.0$1.0$6.0$6.0$8.0$Taipei$Nov 3, 2010$64.0$64.0$512.0$6144.0$1971.0
Power$Acer Incorporated$Acer AT115 F1 (AMD Opteron 4164EE, 1.80 GHz)$1$IBM Corporation$AMD Opteron 4164EE$1800.0$1.0$6.0$6.0$8.0$Taipei$Nov 3, 2010$64.0$64.0$512.0$6144.0$1980.0
Power$Acer Incorporated$Gateway GW2000h-GW175h F1  Gateway GW2000h$4$IBM Corporation$AMD Opteron 6174$2200.0$8.0$96.0$96.0$64.0$Taipei$Nov 10, 2010$64.0$64.0$512.0$12288.0$2481.0
Power$Acer Incorporated$Acer AW2000h-AW175h F1  Acer AW2000h$4$IBM Corporation$AMD Opteron 6174$2200.0$8.0$96.0$96.0$64.0$Taipei$Nov 10, 2010$64.0$64.0$512.0$12288.0$2474.0
Power$Acer Incorporated$Acer AR385 F1 (AMD Opteron 6174, 2.20 GHz)$1$IBM Corporation$AMD Opteron 6174$2200.0$2.0$24.0$24.0$16.0$Taipei$Nov 18, 2010$64.0$64.0$512.0$12288.0$2424.0
Power$Acer Incorporated$Gateway GR385 F1 (AMD Opteron 6174, 2.20 GHz)$1$IBM Corporation$AMD Opteron 6174$2200.0$2.0$24.0$24.0$16.0$Taipei$Nov 18, 2010$64.0$64.0$512.0$12288.0$2426.0
Power$Acer Incorporated$Acer AR585 F1$1$IBM Corporation$AMD Opteron 6174$2200.0$4.0$48.0$48.0$32.0$Taipei$Nov 18, 2010$64.0$64.0$512.0$12288.0$2562.0
Power$Acer Incorporated$Gateway GR585 F1$1$IBM Corporation$AMD Opteron 6174$2200.0$4.0$48.0$48.0$32.0$Taipei$Nov 18, 2010$64.0$64.0$512.0$12288.0$2555.0
Power$Acer Incorporated$Acer AR320 F1 (Intel Xeon X3470, 2.93 GHz)$1$IBM Corporation$Intel Xeon X3470$2933.0$1.0$4.0$8.0$8.0$Taipei$Dec 1, 2010$32.0$32.0$256.0$8192.0$1911.0
Power$Acer Incorporated$Gateway GR320 F1 (Intel Xeon X3470, 2.93 GHz)$1$IBM Corporation$Intel Xeon X3470$2933.0$1.0$4.0$8.0$8.0$Taipei$Dec 1, 2010$32.0$32.0$256.0$8192.0$1932.0
Power$Acer Incorporated$Gateway GT310 F1 (Intel Xeon X3470, 2.93 GHz)$1$IBM Corporation$Intel Xeon X3470$2933.0$1.0$4.0$8.0$8.0$Taipei$Dec 1, 2010$32.0$32.0$256.0$8192.0$1987.0
