Table_Type$Company$System_Name$Jvm_Name$Jvm_Version$Test_Location$Publish_Date$Cpu_Name$Nodes$Chips$Cores$Threads$Cpu_Frequency$Primary_Instruction_Cache$Primary_Data_Cache$Secondary_Cache$Tertiary_Cache$Memory$Total_Result
distributed$Dell$Dell Inc. PowerEdge MX760c$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$Round Rock$12-Jan-2023$Intel Xeon Platinum 8470Q$1.0$2.0$104.0$208.0$2100.0$32.0$48.0$2048.0$107520.0$64.0$296986.9
distributed$Dell$Dell Inc. PowerEdge MX760c$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$Round Rock$12-Jan-2023$Intel Xeon Platinum 8480+$1.0$2.0$112.0$224.0$2000.0$32.0$48.0$2048.0$107520.0$64.0$307494.8
distributed$Dell$Dell Inc. PowerEdge MX760c$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$Round Rock$12-Jan-2023$Intel Xeon Platinum 8470Q$1.0$2.0$104.0$208.0$2100.0$32.0$48.0$2048.0$107520.0$64.0$247280.0
distributed$Dell$Dell Inc. PowerEdge MX760c$Oracle Java SE 19.0.1$Java HotSpot 64-bit Server VM, version 19.0.1$Round Rock$12-Jan-2023$Intel Xeon Platinum 8480+$1.0$2.0$112.0$224.0$2000.0$32.0$48.0$2048.0$107520.0$64.0$262986.2
distributed$Dell$Dell Inc. PowerEdge MX760c$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$Round Rock$26-Jan-2023$Intel Xeon Platinum 8480+$1.0$2.0$112.0$224.0$2000.0$32.0$48.0$2048.0$107520.0$64.0$273421.4
distributed$Dell$Dell Inc. PowerEdge MX760c$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$Round Rock$26-Jan-2023$Intel Xeon Platinum 8480+$1.0$2.0$112.0$224.0$2000.0$32.0$48.0$2048.0$107520.0$64.0$328710.8
distributed$Dell$Dell Inc. PowerEdge MX760c$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$Round Rock$26-Jan-2023$Intel Xeon Platinum 8470Q$1.0$2.0$104.0$208.0$2100.0$32.0$48.0$2048.0$107520.0$64.0$265877.69999999995
distributed$Dell$Dell Inc. PowerEdge MX760c$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$Round Rock$26-Jan-2023$Intel Xeon Platinum 8470Q$1.0$2.0$104.0$208.0$2100.0$32.0$48.0$2048.0$107520.0$64.0$316600.3
distributed$Dell$Dell Inc. PowerEdge R760$Oracle Java SE 17.0.5$Java HotSpot(TM) 64-Bit Server VM, version 17.0.5$Round Rock$31-Jan-2023$Intel Xeon Platinum 8480+$1.0$2.0$112.0$224.0$2000.0$32.0$48.0$2048.0$107520.0$512.0$275780.0
distributed$H3C$H3C UniServer R4900 G3$Oracle Java SE 9.0.1$Java HotSpot 64-Bit Server VM, version 9.0.1$Hang Zhou$9-Nov-2017$Intel(R) Xeon(R) Platinum 8180 CPU$1.0$2.0$56.0$112.0$2500.0$32.0$32.0$1024.0$39424.0$384.0$127686.9
distributed$H3C$H3C UniServer R6900 G3$Oracle Java SE 9.0.4$Java HotSpot 64-Bit Server VM, version 9.0.4$Hang Zhou$13-Apr-2018$Intel(R) Xeon(R) Platinum 8180 CPU$1.0$4.0$112.0$224.0$2500.0$32.0$32.0$1024.0$39424.0$384.0$186179.4
