Tester Name$System Name$JVM Name$JVM Version$max-jOPS$critical-jOPS$Test_Location$Publish_Date$CPU_Name$Nodes$Processor_Chips$Processor_Cores$Processor_Threads$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Disk$Memory
Cisco Systems$Cisco UCS C245 M6  HTML$Oracle Java SE 17.0.2$Java HotSpot 64-Bit Server VM,version 17.0.2$359971$317970$San Jose, CA$Mon Mar 21 09:38:43 EDT 2022$AMD EPYC 7773X$1$2$128$256$2200$32 KB I+32 KB D per core$512 KB I+D per core$768 MB I+D per chip$1 x 960 GB M.2 SSD SATA$128 GB 4Rx4 PC4-3200V-L(GB)
Cisco Systems$Cisco UCS C225 M6  HTML$Oracle Java SE 17.0.2$Java HotSpot 64-Bit Server VM,version 17.0.2$225549$210511$San Jose, CA$Mon Mar 21 09:38:43 EDT 2022$AMD EPYC 7773X$1$1$64$128$2200$32 KB I+32 KB D per core$512 KB I+D per core$768 MB (I+D) per chip$1 x 960 GB M.2 SSD SATA$128 GB 4Rx4 PC4-3200V-L(GB)
Cisco Systems$Cisco UCS C225 M6  HTML$Oracle Java SE 17.0.2$Java HotSpot 64-Bit Server VM,version 17.0.2$223558$211094$San Jose, CA$Mon Mar 21 09:38:43 EDT 2022$AMD EPYC 7773X$1$1$64$128$2200$32 KB I+32 KB D per core$512 KB I+D per core$768 MB (I+D) per chip$1 x 960 GB M.2 SSD SATA$128 GB 4Rx4 PC4-3200V-L(GB)
Cisco Systems$Cisco UCS X210c M7  HTML$Oracle Java SE 17.0.5$Java HotSpot 64-Bit Server VM,version 17.0.5$338828$198722$San Jose, CA$Thu Jan 12 11:42:47 EST 2023$Intel Xeon Platinum 8490H$1$2$120$240$1900$32KB(I)+48KB(D) per core$2 MB (I+D) per core$112.5MB (I+D) on chip per chip$1x 960 GB M.2 SSD SATA$64GB 2Rx4 PC5-4800B-R(GB)
Dell Inc.$Dell Inc. PowerEdge R750  HTML$Oracle Java SE 17.0.2$Java HotSpot 64-bit Server VM, version 17.0.2$232382$210414$Round Rock, TX$Fri Apr 29 13:19:42 EDT 2022$Intel Xeon Platinum 8380$1$2$80$160$2300$32KB(I)+48KB(D) per core$1280KB (I+D) per core$60MB (I+D) on chip per chip$1 x Pcie BOSS Card ,1 x M.2 SSD 128GB$64GB RDIMM 4Rx4 PC4-3200AA-L slots A1-8, B1-8 populated(GB)
Dell Inc.$Dell Inc. PowerEdge R750  HTML$Oracle Java SE 17.0.2$Java HotSpot 64-bit Server VM, version 17.0.2$235324$207187$Round Rock, TX$Fri Apr 29 13:19:42 EDT 2022$Intel Xeon Platinum 8380$1$2$80$160$2300$32KB(I)+48KB(D) per core$1280KB (I+D) per core$60MB (I+D) on chip per chip$1 x Pcie BOSS Card ,1 x M.2 SSD 128GB$64GB RDIMM 4Rx4 PC4-3200AA-L slots A1-8, B1-8 populated(GB)
Dell Inc.$Dell Inc. PowerEdge R750  HTML$Oracle Java SE 17.0.2$Java HotSpot 64-bit Server VM, version 17.0.2$232382$210414$Round Rock, TX$Fri Apr 29 13:19:42 EDT 2022$Intel Xeon Platinum 8380$1$2$80$160$2300$32KB(I)+48KB(D) per core$1280KB (I+D) per core$60MB (I+D) on chip per chip$1 x Pcie BOSS Card ,1 x M.2 SSD 128GB$64GB RDIMM 4Rx4 PC4-3200AA-L slots A1-8, B1-8 populated(GB)
Dell Inc.$Dell Inc. PowerEdge R7515  HTML$Oracle Java SE 17.0.2$Java HotSpot 64-bit Server VM, version 17.0.2$228669$211780$Round Rock, TX$MMM DD, YYYY$AMD EPYC 7773x$1$1$64$128$2200$32KB(I)+32KB(D) per core$512KB (I+D) per core$768MB (I+D) on chip per chip$1 x 960GB SATA SSD$128GB 4Rx4 PC4-3200AA-L; slots A1-7 populated(GB)
Dell Inc.$Dell Inc. PowerEdge MX750C  HTML$Oracle Java SE 17.0.2$Java HotSpot 64-bit Server VM, version 17.0.2$232382$205606$Round Rock, TX$Thu May  5 14:00:59 EDT 2022$Intel Xeon Platinum 8380$1$2$80$160$2300$32KB(I)+48KB(D) per core$1280KB (I+D) per core$60MB (I+D) on chip per chip$1 x Pcie BOSS Card ,1 x M.2 SSD 128GB$64GB RDIMM 4Rx4 PC4-3200AA-L slots A1-8, B1-8 populated(GB)
Dell Inc.$Dell Inc. PowerEdge MX750C  HTML$Oracle Java SE 17.0.2$Java HotSpot 64-bit Server VM, version 17.0.2$238266$198624$Round Rock, TX$Thu May  5 14:00:59 EDT 2022$Intel Xeon Platinum 8380$1$2$80$160$2300$32KB(I)+48KB(D) per core$1280KB (I+D) per core$60MB (I+D) on chip per chip$1 x Pcie BOSS Card ,1 x M.2 SSD 128GB$64GB RDIMM 4Rx4 PC4-3200AA-L slots A1-8, B1-8 populated(GB)
