Test Sponsor$System Name$Parallel$Base  Threads$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Threads/  Core$Results # Base$Results # Peak$Energy # Base$Energy # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory$Disk
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz, Intel Xeon Gold 6126)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$101$102$--$--$May-2020$Intel Xeon Gold 5220R$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz, Intel Xeon Gold 6134)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$16$2$2$94.9$95.4$--$--$Apr-2020$Intel Xeon Gold 6238R$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.00 GHz, Intel Xeon Gold 6136)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$108$109$--$--$Jun-2019$Intel Xeon Platinum 8253$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz, Intel Xeon Gold 6146)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$110$111$--$--$May-2019$Intel Xeon Platinum 8276M$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz, Intel Xeon Silver 4114)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$20$2$1$75.7$76.5$--$--$Jul-2019$Intel Xeon Silver 4210$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$13.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz, Intel Xeon Gold 5115)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$20$2$1$79.5$80.2$--$--$Jul-2019$Intel Xeon Silver 4214$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$16.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.30 GHz, Intel Xeon Gold 6140)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$36$36$2$1$114$115$--$--$Jul-2019$Intel Xeon Gold 5218$2300$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz, Intel Xeon Gold 5120)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$28$28$2$1$90.4$92.2$--$--$Jul-2019$Intel Xeon Gold 5218B$2300$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz, Intel Xeon Gold 6130T)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$32$2$1$111$111$--$--$Apr-2020$Intel Xeon Gold 6240R$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz, Intel Xeon Platinum 8153)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$32$2$1$101$103$--$--$Aug-2019$Intel Xeon Platinum 8260M$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz, Intel Xeon Gold 6132)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$28$28$2$1$107$107$--$--$May-2020$Intel Xeon Silver 4210R$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$13.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2186G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$6$1$2$32.7$33.0$--$--$May-2020$Intel Xeon Silver 4214R$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$16.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz, Intel Xeon E-2176G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$6$1$2$32.7$33.0$--$--$Jul-2019$Intel Xeon Gold 5215$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$13.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
