Tester Name$System Name$JVM Name$JVM Version$max-jOPS$critical-jOPS$Test_Location$Publish_Date$CPU_Name$Nodes$Processor_Chips$Processor_Cores$Processor_Threads$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Disk$Memory
ASUSTeK Computer Inc.$RS720-E11-RS12U  HTML$Oracle Java SE 17.0.5$Java HotSpot 64-bit Server VM, version 17.0.5$458295$368979$Taipei, Taiwan$Mon Feb 13 12:24:34 EST 2023$Intel Xeon Platinum 8490H$1$2$120$240$1900$32 KB (I) + 48 KB (D) on chip per core$2 MB (I+D) per core$112.5 MB (I+D) on chip per chip$1 x 1.6 TB PCIE NVMe SSD$64 GB 2Rx4 PC5-4800B-R(GB)
Cisco Systems$Cisco UCS C220 M4  HTML$Oracle Java SE 8u60$Java HotSpot 64-bit Server VM, version 1.8.0_60$92463$31654$San Jose, CA$Sep 23, 2015$Intel Xeon E5-2699 v3$1$2$36$72$2300$32 KB(I)+32 KB(D)on chip per core$256 KB (I+D) per core$45MB (I+D) on chip per chip$1x 300GB SSD$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)(GB)
Cisco Systems$Cisco UCS C220 M4  HTML$Oracle Java SE 8u60$Java HotSpot 64-bit Server VM, version 1.8.0_60$97551$28318$San Jose, CA$Nov 12, 2015$Intel Xeon E5-2699 v3$1$2$36$72$2300$32 KB(I)+32 KB(D)on chip per core$256 KB (I+D) per core$45MB (I+D) on chip per chip$1x 300GB SSD$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)(GB)
Cisco Systems$Cisco UCS C460 M4  HTML$Oracle Java SE 8u60$Java HotSpot 64-bit Server VM, version 1.8.0_60$171642$53348$San Jose, CA$Nov 12, 2015$Intel Xeon E7-8890 v3$1$4$72$144$2500$32KB(I)+32KB(D) per core$256 KB (I+D) per core$45MB (I+D) on chip per chip$1x 300GB 10K RPM SAS$1024 GB(64 X 16GB 2Rx4 PC4-2133P)(GB)
Cisco Systems$Cisco UCS C460 M4  HTML$Oracle Java SE 8u60$Java HotSpot 64-bit Server VM, version 1.8.0_60$157832$99646$San Jose, CA$Nov 12, 2015$Intel Xeon E7-8890 v3$1$4$72$144$2500$32KB(I)+32KB(D) per core$256 KB (I+D) per core$45MB (I+D) on chip per chip$1x 300GB 10K RPM SAS$2048 GB(64 X 32GB 2Rx4 PC4-2133P)(GB)
Cisco Systems$Cisco UCS C220 M4  HTML$Oracle Java SE 8u74$Java HotSpot 64-bit Server VM, version 1.8.0_74$94667$71951$San Jose, CA$Apr 13, 2016$Intel Xeon E5-2699 v4$1$2$44$88$2200$32KB(I)+32KB(D) per core$256 KB (I+D) per core$55MB (I+D) on chip per chip$1x 400GB SSD SAS$64 GB 4DRx4 PC4-2400T-LD1(GB)
Cisco Systems$Cisco UCS C220 M4  HTML$Oracle Java SE 8u74$Java HotSpot 64-bit Server VM, version 1.8.0_74$117931$39417$San Jose, CA$Apr 13, 2016$Intel Xeon E5-2699 v4$1$2$44$88$2200$32KB(I)+32KB(D) per core$256 KB (I+D) per core$55MB (I+D) on chip per chip$1x 400GB SSD SAS$16 GB 2Rx4 PC4-2400T-R(GB)
Cisco Systems$Cisco UCS C460 M4  HTML$Oracle Java SE 8u91$Java HotSpot 64-bit Server VM, version 1.8.0_91$189334$128990$San Jose, CA$Jun 06, 2016$Intel Xeon E7-8890 v4$1$4$96$192$2200$32KB(I)+32KB(D) per core$256 KB (I+D) per core$60MB (I+D) on chip per chip$1x 300GB 15K RPM SAS$32 GB 2Rx4 PC4-2400T-R, running at 1600 MHz(GB)
Cisco Systems$Cisco UCS C460 M4  HTML$Oracle Java SE 8u91$Java HotSpot 64-bit Server VM, version 1.8.0_91$218425$75259$San Jose, CA$Jun 06, 2016$Intel Xeon E7-8890 v4$1$4$96$192$2200$32KB(I)+32KB(D) per core$256 KB (I+D) per core$60MB (I+D) on chip per chip$1x 300GB 15K RPM SAS$16 GB 2Rx4 PC4-2400T-R, running at 1600 MHz(GB)
Cisco Systems$Cisco UCS C240 M5  HTML$Oracle Java SE 8u131$Java HotSpot 64-bit Server VM, version 1.8.0_131$179534$58094$San Jose, CA$Tue Jul 11 13:21:27 EDT 2017$Intel Xeon Platinum 8180$1$2$56$112$2500$32 KB I + 32 KB D per core$1024 KB I+D per core$38.5 MB I+D per chip$1x 400GB SSD SAS$384 GB(24 X 16GB 2Rx4 PC4-2666V)(GB)
