Test Sponsor$System Name$Parallel$Base  Threads$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Threads/  Core$Results # Base$Results # Peak$Energy # Base$Energy # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory$Disk
ASUSTeK Computer Inc.$ASUS RS720-E9(Z11PP-D24) Server System (2.50 GHz, Intel Xeon Platinum 8180)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$112$56$2$1$9.34$9.61$--$--$Jul-2019$Intel Xeon Gold 5220$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz, Intel Xeon Gold 6126)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$8.97$9.20$--$--$May-2020$Intel Xeon Gold 5220R$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz, Intel Xeon Gold 6134)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$16$2$2$9.14$9.36$--$--$Apr-2020$Intel Xeon Gold 6238R$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.00 GHz, Intel Xeon Gold 6136)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$9.15$9.42$--$--$Jun-2019$Intel Xeon Platinum 8253$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz, Intel Xeon Gold 6146)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$10.1$10.3$--$--$May-2019$Intel Xeon Platinum 8276M$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz, Intel Xeon Silver 4114)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$20$2$1$7.25$7.46$--$--$Aug-2019$Intel Xeon Silver 4210$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$13.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.30 GHz, Intel Xeon Gold 6140)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$36$36$2$1$9.08$9.33$--$--$Jul-2019$Intel Xeon Silver 4214$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$16.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz, Intel Xeon Gold 5115)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$20$2$1$7.66$7.84$--$--$Jul-2019$Intel Xeon Gold 5218$2300$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz, Intel Xeon Platinum 8153)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$32$2$1$7.22$7.43$--$--$Jul-2019$Intel Xeon Gold 5218B$2300$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz, Intel Xeon Gold 5120)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$28$28$2$1$7.89$8.08$--$--$Apr-2020$Intel Xeon Gold 6240R$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz, Intel Xeon Gold 6130T)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$32$2$1$9.12$9.32$--$--$Aug-2019$Intel Xeon Platinum 8260M$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz, Intel Xeon Gold 6132)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$28$28$2$1$9.05$9.25$--$--$May-2020$Intel Xeon Silver 4210R$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$13.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2186G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$6$1$2$10.7$11.0$--$--$May-2020$Intel Xeon Silver 4214R$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$16.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz, Intel Xeon E-2176G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$6$1$2$10.7$11.1$--$--$Jul-2019$Intel Xeon Gold 5215$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$13.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2136)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$6$1$2$10.3$10.7$--$--$Jun-2019$Intel Xeon Gold 6248$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$27.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2174G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$4$1$2$10.5$10.9$--$--$Jul-2019$Intel Xeon Silver 4215$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz, Intel Xeon Silver 4116)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$48$24$2$1$7.66$7.81$--$--$Sep-2019$Intel Xeon Gold 6240M$2600$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2124)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$9.48$9.86$--$--$Jun-2019$Intel Xeon Gold 6226$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$19.25 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2124G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$9.87$10.2$--$--$Feb-2020$Intel Xeon Gold 6258R$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.20 GHz, Intel Xeon E-2104G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$7.34$7.62$--$--$Aug-2020$Intel Xeon Platinum 8280$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$56$56$2$1$10.9$11.1$--$--$Apr-2019$Intel Xeon Platinum 8280L$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 240 GB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.60 GHz, Intel Xeon Gold 6244)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$16$2$2$11.5$11.7$--$--$Apr-2019$Intel Xeon Platinum 8280L$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 240 GB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Platinum 8280L)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$56$56$2$1$11.0$11.2$--$--$Jun-2020$Intel Xeon Gold 6226R$2900$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.30 GHz, Intel Xeon E-2126G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$6$6$1$1$10.7$10.9$--$--$Jul-2019$Intel Xeon Gold 5217$3000$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2146G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$6$1$2$10.8$11.0$--$--$Jun-2020$Intel Xeon Gold 6248R$3000$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (3.60 GHz, Intel Xeon Gold 6244)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$16$2$2$11.5$11.7$--$--$Jun-2020$Intel Xeon Gold 6242R$3100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8276M)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$56$56$2$1$10.9$11.2$--$--$Jun-2020$Intel Xeon Silver 4215R$3200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2134)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$4$1$2$10.6$10.8$--$--$May-2019$Intel Xeon Gold 6246$3300$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz, Intel Xeon Gold 6238T)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$44$44$2$1$10.0$10.3$--$--$Mar-2020$Intel Xeon Gold 6246R$3400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (3.30 GHz, Intel Xeon Gold 6246)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$11.1$11.3$--$--$Apr-2019$Intel Xeon Gold 6244$3600$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8253)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$32$2$1$8.24$8.43$--$--$Apr-2020$Intel Xeon Gold 6256$3600$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$33 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz, Intel Xeon E-2144G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$4$1$2$10.6$10.9$--$--$Aug-2019$Intel Xeon Platinum 8256$3800$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$16.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 6230)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$40$40$2$1$10.5$10.7$--$--$Feb-2020$Intel Xeon Gold 6250$3900$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Gold 6248)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$40$40$2$1$10.5$10.8$--$--$Jul-2019$Intel Xeon E-2104G$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Gold 6226)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$9.74$9.96$--$--$Jul-2019$Intel Xeon E-2124$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Gold 5220)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$36$36$2$1$10.6$10.8$--$--$Jul-2019$Intel Xeon E-2126G$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Gold 5215)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$20$2$1$9.02$9.21$--$--$Jul-2019$Intel Xeon E-2136$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (3.00 GHz, Intel Xeon Gold 5217)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$16$2$2$9.61$9.80$--$--$Jul-2019$Intel Xeon E-2124G$3400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz, Intel Xeon Gold 5218)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$32$2$1$10.3$10.5$--$--$Jul-2019$Intel Xeon E-2134$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz, Intel Xeon Gold 5218B)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$32$2$1$10.3$10.6$--$--$Jun-2019$Intel Xeon E-2146G$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS RS100-E10(P11C-M/4L) Server System (3.40 GHz, Intel Xeon E-2124G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$10.7$10.9$--$--$Aug-2019$Intel Xeon E-2144G$3600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS RS100-E10(P11C-M/4L) Server System (3.20 GHz, Intel Xeon E-2104G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$7.91$8.11$--$--$Aug-2019$Intel Xeon E-2176G$3700$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz, Intel Xeon E-2124)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$4$1$1$10.3$10.5$--$--$Apr-2019$Intel Xeon E-2104G$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Silver 4214)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$24$2$1$8.68$8.85$--$--$Apr-2019$Intel Xeon E-2124$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Silver 4215)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$16$2$2$9.10$9.28$--$--$May-2019$Intel Xeon E-2126G$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Silver 4216)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$32$2$1$8.85$9.04$--$--$Feb-2019$Intel Xeon E-2136$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
