Test Sponsor$System Name$Base  Copies$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Threads/  Core$Results # Base$Results # Peak$Energy # Base$Energy # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory$Disk
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.40 GHz, Intel Xeon Gold 6128)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$24$12$2$2$85.5$90.6$--$--$Apr-2020$Intel Xeon Gold 6238R$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720-E9(Z11PP-D24) Server System (2.50 GHz, Intel Xeon Platinum 8180)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$112$56$2$2$304$327$--$--$Jun-2019$Intel Xeon Platinum 8253$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.60 GHz, Intel Xeon Gold 6126)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$48$24$2$2$149$158$--$--$May-2019$Intel Xeon Platinum 8276M$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz, Intel Xeon Gold 6134)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$32$16$2$2$113$120$--$--$Jul-2019$Intel Xeon Silver 4210$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$13.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.00 GHz, Intel Xeon Gold 6136)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$48$24$2$2$162$171$--$--$Jul-2019$Intel Xeon Silver 4214$2200$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$16.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.20 GHz, Intel Xeon Gold 6146)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$48$24$2$2$168$179$--$--$Jun-2019$Intel Xeon Gold 5218$2300$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720A-E9(KNPP-D32) Server System (2.20 GHz, AMD EPYC 7601)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$128$64$2$2$282$310$--$--$Jul-2019$Intel Xeon Gold 5218B$2300$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.20 GHz, Intel Xeon Silver 4114)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$40$20$2$2$97.5$103$--$--$Apr-2020$Intel Xeon Gold 6240R$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.30 GHz, Intel Xeon Gold 6140)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$72$36$2$2$195$206$--$--$Aug-2019$Intel Xeon Platinum 8260M$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz, Intel Xeon Gold 5115)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$40$20$2$2$105$112$--$--$May-2020$Intel Xeon Silver 4210R$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$13.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
