Test Sponsor$System Name$Base  Copies$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Threads/  Core$Results # Base$Results # Peak$Energy # Base$Energy # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory$Disk
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8276M)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$112$56$2$2$338$353$--$--$Aug-2019$Intel Xeon Platinum 8256$3800$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$16.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.50 GHz, Intel Xeon E-2134)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$8$4$1$2$33.0$34.4$--$--$Feb-2020$Intel Xeon Gold 6250$3900$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (1.90 GHz, Intel Xeon Gold 6238T)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$88$44$2$2$253$262$--$--$Jul-2019$Intel Xeon E-2104G$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (3.30 GHz, Intel Xeon Gold 6246)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$48$24$2$2$204$211$--$--$Jul-2019$Intel Xeon E-2124$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Platinum 8253)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$64$32$2$2$177$182$--$--$Jul-2019$Intel Xeon E-2126G$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS RS300-E10(P11C-C/4L) Server System (3.60 GHz, Intel Xeon E-2144G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$8$4$1$2$33.2$34.6$--$--$Aug-2019$Intel Xeon E-2136$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 6230)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$80$40$2$2$238$247$--$--$Jul-2019$Intel Xeon E-2124G$3400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Gold 6248)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$80$40$2$2$266$276$--$--$Jul-2019$Intel Xeon E-2134$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.70 GHz, Intel Xeon Gold 6226)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$48$24$2$2$175$181$--$--$Jun-2019$Intel Xeon E-2146G$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.20 GHz, Intel Xeon Gold 5220)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$72$36$2$2$212$221$--$--$Aug-2019$Intel Xeon E-2144G$3600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (3.00 GHz, Intel Xeon Gold 5217)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$32$16$2$2$115$119$--$--$Aug-2019$Intel Xeon E-2176G$3700$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz, Intel Xeon Gold 5218)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$64$32$2$2$194$201$--$--$Aug-2019$Intel Xeon E-2174G$3800$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.30 GHz, Intel Xeon Gold 5218B)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$64$32$2$2$194$201$--$--$Apr-2019$Intel Xeon E-2104G$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS ESC8000 G4(Z11PG-D24) Server System (2.50 GHz, Intel Xeon Gold 5215)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$40$20$2$2$129$134$--$--$Apr-2019$Intel Xeon E-2124$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS RS100-E10(P11C-M/4L) Server System (3.40 GHz, Intel Xeon E-2124G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$4$4$1$1$28.4$29.2$--$--$May-2019$Intel Xeon E-2126G$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
ASUSTeK Computer Inc.$ASUS RS100-E10(P11C-M/4L) Server System (3.20 GHz, Intel Xeon E-2104G)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$4$4$1$1$23.1$23.7$--$--$Feb-2019$Intel Xeon E-2136$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2666V-E)$1 x 500 GB SATA HDD, 7200RPM
